playlist_name,lastModifiedDate,count
Hozier’s Lullaby ,2023-02-23,10
Mile High View,2023-02-03,13
Recent Favorites,2022-12-11,51
Cyberpunk,2022-07-06,7
Workout Mix,2022-04-25,31
Austin Playlist,2022-02-11,153
Past vs Present,2022-07-16,58
Tranquility ,2022-03-26,33
Tone down the vibe ,2022-08-12,81
اردو کے ہیرے,2020-10-24,53
Rain and Pine,2021-11-28,34
Sleep,2023-02-22,52
Drive,2022-04-14,416
Sexy time,2021-07-16,11
My Heartbreak,2022-02-14,12
Rapertoire,2022-01-26,79
پورانی یادں,2022-06-29,44
Run,2022-12-31,39
کوالی,2021-08-08,33
Raufs Jazz Favorites,2021-04-26,17
